"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Jake Marisnick","","49","156","142","31","7","1","5","18","16","10","49","3","4","1","",".220",".284",".391",".675",".292","84","","0.3","","999.0","11339"
"Tyler Wade","LAA","97","290","261","56","11","1","4","33","20","24","76","3","14","3","",".217",".288",".315",".603",".267","66","","0.3","","499.2","15730"
"Willi Castro","DET","37","148","136","33","6","1","3","16","14","8","35","2","3","1","",".245",".296",".377",".673",".291","83","","0.3","","562.5","17338"
"Luis Guillorme","NYM","36","121","106","25","4","0","1","12","10","13","21","1","1","0","",".241",".326",".316",".642",".287","84","","0.3","","999.0","16451"
"Yoshi Tsutsugo","PIT","116","454","394","89","21","1","16","50","54","53","117","3","1","0","",".225",".320",".405",".725",".315","97","","0.3","","430.5","27459"
"Mauricio Dubón","SFG","34","125","115","29","6","1","2","14","12","7","24","1","2","1","",".249",".297",".370",".667",".289","82","","0.3","","596.8","16530"
"DJ Stewart","BAL","74","289","246","53","11","1","11","33","32","34","76","5","1","0","",".216",".320",".400",".720",".314","97","","0.3","","600.2","17766"
"Alex Dickerson","ATL","77","266","237","60","12","1","12","35","34","22","59","5","1","0","",".251",".325",".458",".782",".333","105","","0.3","","597.7","12649"
"Jake McCarthy","ARI","79","299","271","63","14","3","6","36","27","22","82","4","11","2","",".233",".298",".372",".670",".292","79","","0.3","","600.8","21622"
"Ehire Adrianza","WSN","62","194","173","42","9","1","4","21","19","17","40","2","1","0","",".241",".312",".371",".683",".299","84","","0.2","","999.0","8418"
"Cole Tucker","PIT","72","278","249","57","12","2","5","29","24","24","66","2","6","2","",".228",".300",".345",".645",".284","76","","0.2","","585.2","17326"
"Travis Jankowski","NYM","42","129","113","27","4","1","1","15","8","14","27","1","5","1","",".241",".326",".308",".634",".284","82","","0.2","","999.0","13768"
"CJ Abrams","SDP","27","111","102","25","6","1","2","12","10","7","23","1","3","1","",".244",".297",".368",".665",".288","82","","0.2","","540.3","sa3010152"
"Seby Zavala","CHW","31","112","102","20","4","0","4","11","13","8","42","1","0","0","",".194",".260",".351",".611",".266","67","","0.2","","598.5","18887"
"Jordy Mercer","","35","123","112","27","6","0","3","13","13","9","27","1","0","0","",".243",".302",".379",".681",".295","84","","0.2","","999.0","6547"
"Sandy León","CLE","47","162","146","29","5","0","4","15","16","12","45","2","0","0","",".202",".269",".333",".601",".264","64","","0.2","","999.0","5273"
"Richie Palacios","CLE","18","67","60","15","4","0","1","8","7","6","13","1","1","0","",".253",".323",".392",".714",".311","96","","0.2","","600.8","sa3006908"
"Brent Rooker","MIN","62","248","220","49","11","1","10","30","30","23","82","4","1","0","",".222",".306",".412",".718",".310","96","","0.2","","597.7","19627"
"Brian Goodwin","","44","168","148","35","8","1","5","20","19","17","43","1","2","1","",".236",".318",".404",".722",".313","96","","0.2","","600.6","12858"
"Eli White","TEX","37","142","128","28","6","1","3","16","12","11","41","2","3","1","",".221",".292",".352",".644",".283","79","","0.2","","599.6","19346"
"Jake Rogers","DET","18","70","62","13","3","0","2","7","8","6","23","1","0","0","",".205",".286",".380",".666",".290","82","","0.2","","600.8","19452"
"Bobby Bradley","CLE","104","423","377","81","17","1","21","49","59","38","148","5","1","0","",".216",".295",".435",".730",".311","96","","0.2","","485.9","17278"
"Rylan Bannon","BAL","38","150","134","30","6","1","4","16","15","14","36","1","1","0","",".221",".299",".366",".665",".291","81","","0.2","","600.3","sa3004162"
"Heliot Ramos","SFG","30","121","110","27","6","1","3","14","12","8","35","1","2","1","",".245",".306",".386",".691",".300","89","","0.2","","999.0","sa3004693"
"Reese McGuire","TOR","27","93","84","19","4","0","2","9","8","7","19","1","0","0","",".221",".287",".328",".615",".271","65","","0.2","","599.0","15674"
"Alex Jackson","MIA","34","118","106","20","4","0","4","12","14","8","47","3","0","0","",".188",".264",".360",".623",".270","71","","0.2","","999.0","17276"
"Orlando Arcia","ATL","51","186","171","42","7","0","5","22","19","12","33","1","3","1","",".248",".299",".383",".681",".294","80","","0.2","","600.8","13185"
"Triston Casas","BOS","50","207","182","44","10","1","7","25","23","21","48","2","1","1","",".240",".323",".412",".735",".318","97","","0.2","","520.5","sa3007634"
"Harold Ramirez","CHC","52","204","189","51","10","1","5","22","22","10","36","3","2","1","",".271",".316",".409",".725",".312","93","","0.2","","572.8","14387"
"Sergio Alcántara","CHC","48","175","155","35","6","1","3","17","14","17","43","1","2","1","",".227",".305",".333",".638",".282","73","","0.2","","600.5","16417"
"Jake Lamb","LAD","19","69","60","13","3","0","3","9","8","8","19","1","0","0","",".215",".312",".398",".710",".309","95","","0.2","","999.0","13329"
"Jake Burger","CHW","24","93","85","20","4","0","3","10","11","6","25","1","0","0","",".233",".292",".395",".687",".296","87","","0.2","","594.1","22275"
"Nomar Mazara","SDP","68","267","241","58","12","1","7","29","29","21","61","3","1","0","",".241",".308",".388",".696",".302","91","","0.2","","600.3","14553"
"Yu Chang","CLE","62","223","203","45","10","1","7","23","24","16","64","2","2","1","",".221",".285",".382",".666",".288","81","","0.2","","598.2","14773"
"Jackie Bradley Jr.","BOS","82","316","281","61","14","2","8","36","30","27","87","6","4","2","",".216",".298",".358",".656",".288","76","","0.2","","590.3","12984"
"Corey Dickerson","STL","91","350","322","85","18","2","8","41","36","22","63","2","4","1","",".264",".315",".409",".723",".311","97","","0.2","","580.3","10762"
"William Contreras","ATL","17","60","55","13","3","0","2","7","7","4","16","1","0","0","",".242",".302",".398",".700",".302","85","","0.2","","594.3","20503"
"Matt Thaiss","LAA","23","86","76","17","3","0","2","9","9","8","20","1","0","0","",".222",".304",".372",".676",".295","85","","0.2","","590.5","19318"
"Yermín Mercedes","CHW","13","44","40","10","2","0","1","5","5","3","8","0","0","0","",".257",".314",".424",".738",".316","100","","0.2","","596.4","17423"
"Billy McKinney","","3","9","8","2","0","0","0","1","1","1","2","0","0","0","",".213",".293",".379",".672",".292","87","","0.2","","599.2","15654"
"Seth Beer","ARI","89","322","286","71","16","1","10","37","39","23","73","12","1","0","",".250",".329",".420",".749",".324","100","","0.2","","551.4","20493"
"Aristides Aquino","CIN","90","321","288","64","13","1","17","42","44","28","101","3","4","1","",".221",".295",".447",".743",".316","91","","0.2","","584.8","15482"
"Travis Swaggerty","","41","166","148","33","7","1","4","17","15","15","45","1","3","1","",".225",".299",".356",".655",".287","79","","0.2","","591.8","sa3007512"
"Eric Thames","OAK","76","304","264","56","12","1","12","33","34","33","95","5","3","1","",".211",".308",".400",".709",".307","97","","0.2","","591.5","3711"
"Royce Lewis","MIN","13","50","46","11","2","0","1","6","5","3","11","0","1","0","",".242",".299",".401",".700",".301","89","","0.2","","999.0","sa3004259"
"Brennen Davis","CHC","39","153","137","32","7","1","5","18","17","12","44","2","2","1","",".236",".309",".407",".716",".310","91","","0.2","","999.0","sa3007876"
"Chance Sisco","","18","57","50","10","2","0","1","5","5","5","17","2","0","0","",".200",".298",".323",".621",".278","79","","0.2","","999.0","15694"
"Estevan Florial","NYY","32","115","103","22","5","0","4","13","11","11","40","1","2","1","",".213",".289",".368",".657",".287","81","","0.2","","600.8","19151"
"Nick Allen","OAK","46","185","168","39","8","1","2","17","13","11","38","2","4","1","",".230",".284",".329",".614",".269","72","","0.2","","999.0","sa3004723"
"Hanser Alberto","LAD","34","122","115","30","6","0","2","13","13","4","15","1","1","0","",".263",".290",".371",".661",".285","79","","0.2","","600.3","11902"
"José Peraza","NYY","18","64","59","15","2","0","1","7","6","3","10","1","1","0","",".248",".297",".373",".670",".290","83","","0.2","","600.8","13593"
"Isan Díaz","MIA","33","123","108","23","5","0","3","13","12","13","34","1","1","0","",".212",".299",".357",".656",".287","82","","0.2","","600.5","17922"
"Patrick Mazeika","","16","52","47","10","2","0","1","5","5","4","10","1","0","0","",".223",".293",".348",".641",".282","80","","0.2","","999.0","18142"
"Matt Carpenter","","59","198","168","34","8","1","6","22","20","26","57","3","1","0","",".205",".321",".368",".689",".304","93","","0.2","","597.8","8090"
"Marwin Gonzalez","","58","221","199","45","8","0","6","23","22","17","54","3","1","1","",".226",".296",".356",".652",".286","80","","0.2","","600.4","5497"
"Miguel Andújar","NYY","28","110","102","26","5","0","4","12","13","6","19","1","0","0","",".254",".299",".419",".719",".307","95","","0.2","","596.8","15878"
"Matt Joyce","PHI","39","115","99","23","5","0","3","13","12","15","25","1","0","0","",".235",".336",".391",".727",".318","100","","0.1","","999.0","3353"
"Dustin Garneau","DET","11","41","37","7","2","0","1","4","5","3","11","1","0","0","",".203",".278",".374",".651",".283","78","","0.1","","999.0","9433"
"Joe Panik","","55","194","175","41","8","1","3","19","18","16","27","1","1","0","",".237",".305",".339",".644",".283","76","","0.1","","999.0","11936"
"Rafael Marchan","","25","92","84","20","4","0","1","9","8","6","15","1","1","0","",".242",".297",".331",".629",".276","69","","0.1","","999.0","21646"
"Shed Long Jr.","BAL","38","151","136","30","6","1","4","16","14","12","40","1","2","1","",".223",".291",".363",".655",".286","77","","0.1","","999.0","16542"
"Curtis Terry","MIN","15","57","52","12","3","0","2","6","6","4","15","1","0","0","",".230",".292",".397",".688",".297","87","","0.1","","999.0","18881"
"Lewis Brinson","","33","124","114","26","5","1","4","14","13","8","32","1","2","0","",".227",".282",".386",".668",".288","83","","0.1","","600.5","14352"
"Renato Núñez","","23","92","83","20","4","0","4","10","12","7","23","1","0","0","",".239",".304",".431",".735",".315","99","","0.1","","599.6","14503"
"Romy Gonzalez","CHW","16","63","57","13","3","0","2","7","7","5","19","1","1","0","",".229",".294",".381",".675",".292","84","","0.1","","999.0","21562"
"Zack Short","DET","15","56","49","10","2","0","2","6","6","6","16","1","0","0","",".205",".303",".365",".667",".293","84","","0.1","","999.0","19562"
"Michael Hermosillo","CHC","21","75","67","15","3","0","2","9","8","6","23","2","1","0","",".220",".304",".383",".687",".301","85","","0.1","","599.0","16285"
"Jonathan Araúz","BOS","19","68","61","14","3","0","2","7","7","5","13","0","0","0","",".233",".299",".374",".673",".293","80","","0.1","","999.0","20275"
"Daniel Robertson","MIN","21","71","62","14","3","0","1","8","6","7","18","2","0","0","",".222",".317",".334",".651",".291","83","","0.1","","999.0","14145"
"Gilberto Celestino","MIN","13","46","42","10","2","0","1","5","4","3","10","0","1","0","",".246",".305",".375",".680",".295","85","","0.1","","999.0","20233"
"Vimael Machín","","37","136","121","27","5","0","2","12","11","13","29","1","1","0","",".223",".300",".317",".617",".273","75","","0.1","","999.0","17684"
"Tres Barrera","WSN","21","74","67","15","3","0","2","7","7","6","17","1","0","0","",".220",".289",".335",".625",".275","68","","0.1","","999.0","19977"
"Travis Shaw","","53","197","172","39","9","0","8","24","24","22","50","2","1","0","",".224",".315",".413",".728",".315","95","","0.1","","600.4","11982"
"Cooper Hummel","ARI","33","133","115","27","6","1","3","15","13","14","32","2","1","0","",".235",".329",".380",".709",".312","92","","0.1","","999.0","sa918412"
"TJ Friedl","CIN","53","194","173","41","9","1","4","22","18","15","37","4","3","1","",".240",".314",".369",".683",".299","80","","0.1","","600.8","19522"
"Jack Mayfield","LAA","34","132","121","26","6","0","4","13","14","8","30","1","1","0","",".218",".270",".370",".640",".276","72","","0.1","","999.0","15402"
"Ernie Clement","CLE","27","99","91","23","5","0","1","10","8","6","14","1","1","1","",".253",".302",".342",".644",".281","76","","0.1","","999.0","20352"
"José Godoy","MIN","14","45","41","9","2","0","1","4","4","3","9","1","0","0","",".227",".289",".324",".613",".271","69","","0.1","","999.0","15808"
"Yairo Muñoz","PHI","22","75","70","18","3","0","2","9","7","4","14","1","2","1","",".255",".297",".380",".677",".292","80","","0.1","","999.0","16313"
"Oswald Peraza","NYY","8","31","28","7","1","0","1","4","3","2","7","0","1","0","",".251",".303",".381",".684",".297","87","","0.1","","599.6","sa3003305"
"Garrett Stubbs","PHI","28","90","79","17","4","0","1","9","7","9","20","1","1","0","",".212",".295",".316",".611",".272","67","","0.1","","600.8","18067"
"Keston Hiura","MIL","77","295","264","61","13","1","11","36","35","23","98","6","4","1","",".232",".307",".414",".720",".311","92","","0.1","","468.6","20003"
"Michael Perez","PIT","54","191","172","35","8","0","5","17","20","16","53","2","1","0","",".204",".276",".342",".618",".271","68","","0.1","","999.0","12977"
"Jose Herrera","ARI","12","44","39","9","2","0","1","4","5","4","10","0","0","0","",".225",".303",".351",".654",".287","76","","0.1","","999.0","sa830295"
"Danny Mendick","CHW","40","142","129","29","6","0","3","14","13","11","30","1","1","1","",".225",".290",".332",".622",".275","72","","0.1","","999.0","18889"
"Anthony Alford","PIT","109","402","359","79","16","2","11","46","39","34","141","6","14","3","",".220",".298",".367",".665",".290","80","","0.1","","553.3","14329"
"José Devers","MIA","18","50","46","12","2","0","1","5","4","3","9","1","1","0","",".252",".309",".356",".666",".291","84","","0.1","","999.0","20540"
"Jose Trevino","TEX","47","175","164","36","7","0","3","15","16","8","34","1","1","0","",".221",".260",".328",".589",".255","60","","0.1","","596.0","16725"
"Jeter Downs","","9","37","34","8","2","0","1","4","4","3","10","0","1","0","",".223",".291",".391",".682",".295","81","","0.1","","600.1","sa3004615"
"Jordan Groshans","TOR","8","31","28","7","1","0","1","3","3","2","7","0","0","0","",".245",".305",".383",".689",".299","85","","0.1","","600.8","sa3006893"
"Otto Lopez","TOR","18","49","45","12","2","0","1","6","4","3","9","0","1","0","",".260",".311",".364",".676",".293","81","","0.1","","999.0","19608"
"Donovan Walton","SEA","9","31","28","6","1","0","1","3","3","3","5","0","0","0","",".231",".304",".340",".644",".284","83","","0.1","","999.0","19314"
"Brett Cumberland","BAL","9","32","27","5","1","0","1","3","3","3","11","1","0","0","",".193",".299",".344",".644",".287","78","","0.1","","999.0","sa915611"
"Christin Stewart","BOS","18","72","64","14","3","0","3","8","9","7","20","1","0","0","",".226",".307",".414",".720",".309","91","","0.1","","999.0","17714"
"Ryan McKenna","BAL","22","77","68","16","3","0","2","9","7","7","22","1","1","0","",".232",".314",".368",".682",".300","87","","0.1","","999.0","19928"
"Eric Sogard","","41","137","124","30","6","1","2","13","12","11","23","1","1","0","",".238",".301",".334",".635",".278","73","","0.1","","999.0","7927"
"Elehuris Montero","COL","11","41","38","10","2","0","1","5","5","3","10","0","0","0","",".258",".314",".433",".747",".320","86","","0.1","","599.5","sa872477"
"Michael Chavis","PIT","96","372","341","81","16","2","12","41","44","23","109","6","3","1","",".237",".294",".404",".698",".301","87","","0.1","","567.8","17321"
"Alejo Lopez","CIN","13","43","39","11","2","0","1","5","4","3","6","1","0","0","",".270",".328",".367",".695",".304","84","","0.1","","999.0","21127"
"Austin Romine","","18","62","57","13","2","0","2","6","6","3","17","0","0","0","",".221",".268",".345",".613",".267","66","","0.1","","999.0","5491"
"Ryan McBroom","","17","37","34","8","1","0","1","4","4","3","10","0","0","0","",".232",".294",".389",".683",".295","84","","0.1","","999.0","16524"
"Pablo Reyes","MIL","17","54","49","11","2","0","1","6","5","4","11","0","1","0","",".230",".291",".363",".654",".284","74","","0.1","","999.0","16357"
"Rodolfo Castro","PIT","15","59","54","12","3","0","2","6","7","4","16","0","1","0","",".230",".284",".396",".680",".291","81","","0.1","","999.0","21987"
"Delino DeShields","","20","61","53","12","2","0","1","7","4","6","16","0","3","1","",".220",".305",".306",".611",".275","74","","0.1","","999.0","11379"
"Skye Bolt","OAK","17","57","51","10","2","0","1","5","5","5","17","0","1","0","",".201",".277",".324",".601",".265","69","","0.1","","999.0","17723"
"Oswaldo Cabrera","NYY","7","30","27","6","1","0","1","3","3","2","7","0","0","0","",".233",".285",".386",".671",".289","82","","0.1","","999.0","sa916954"
"Max Schrock","CIN","53","187","171","43","9","1","4","21","19","12","32","2","2","1","",".253",".309",".384",".693",".300","81","","0.1","","599.8","17750"
"Roman Quinn","","21","69","62","13","2","1","1","8","5","5","21","1","3","1","",".215",".287",".328",".614",".271","71","","0.1","","999.0","13546"
"Jahmai Jones","BAL","31","118","106","24","5","1","2","12","10","9","30","1","2","0","",".224",".291",".346",".637",".280","74","","0.1","","600.7","18872"
"Connor Wong","BOS","8","27","25","6","1","0","1","3","3","2","9","0","0","0","",".226",".277",".392",".669",".288","76","","0.1","","999.0","19896"
"Sam Huff","","6","21","19","4","1","0","1","2","3","1","8","0","0","0","",".215",".273",".400",".673",".288","82","","0.1","","590.8","22209"
"Mario Feliciano","","6","22","20","5","1","0","1","2","3","1","6","0","0","0","",".232",".283",".390",".674",".290","78","","0.1","","600.8","20263"
"Abraham Almonte","","13","40","35","8","2","0","1","5","4","5","9","0","1","0","",".234",".326",".397",".723",".315","95","","0.1","","999.0","5486"
"Chris Owings","","16","53","48","11","2","0","1","6","5","4","16","0","1","0","",".221",".283",".363",".646",".280","74","","0.1","","600.7","10030"
"Bryan Lavastida","CLE","7","27","25","6","1","0","1","3","3","2","6","0","0","0","",".259",".326",".389",".715",".310","96","","0.1","","999.0","sa3006917"
"Nick Maton","PHI","16","58","52","11","3","0","1","6","5","5","16","1","1","0","",".219",".298",".346",".643",".283","74","","0.1","","999.0","21635"
"Eguy Rosario","SDP","8","25","23","6","1","0","0","3","2","2","6","0","1","0","",".243",".299",".369",".668",".289","83","","0.1","","999.0","sa917140"
"Korey Lee","HOU","6","22","20","5","1","0","0","2","2","2","5","0","0","0","",".240",".301",".370",".671",".289","84","","0.1","","999.0","sa3010034"
"Albert Almora Jr.","","24","42","39","10","2","0","1","4","4","2","8","0","0","0","",".251",".295",".383",".678",".292","76","","0.1","","999.0","14109"
"Josh Jung","TEX","13","56","51","13","3","0","2","6","6","4","13","1","0","0","",".252",".312",".406",".718",".309","96","","0.1","","505.0","sa3011468"
"Michael Stefanic","LAA","8","31","28","7","1","0","1","3","3","2","5","0","0","0","",".255",".316",".356",".672",".294","84","","0.1","","999.0","sa3008479"
"Colton Welker","COL","66","231","211","57","13","1","6","27","28","17","49","2","1","0","",".269",".326",".423",".749",".320","86","","0.1","","595.5","19961"
"Juan Yepez","STL","53","216","196","48","11","0","7","25","25","16","50","2","1","0","",".244",".306",".413",".719",".309","96","","0.1","","535.3","sa877505"
"Esteban Quiroz","TBR","6","23","20","4","1","0","1","2","2","2","6","0","0","0","",".211",".305",".357",".662",".292","89","","0.1","","999.0","sa596560"
"Drew Waters","","13","57","53","13","3","0","1","7","5","4","19","1","1","0","",".237",".295",".373",".668",".290","77","","0.1","","600.0","sa3004378"
"Stuart Fairchild","ARI","7","21","19","4","1","0","0","2","2","2","5","0","0","0","",".233",".301",".375",".676",".295","81","","0.1","","999.0","20321"
"Drew Ellis","ARI","32","118","105","22","5","0","3","12","13","11","34","1","0","0","",".210",".292",".364",".656",".287","76","","0.1","","999.0","19873"
"René Pinto","TBR","5","18","17","4","1","0","0","2","2","1","5","0","0","0","",".222",".273",".361",".634",".275","77","","0.1","","999.0","sa826668"
"Tucupita Marcano","","18","60","54","13","3","0","1","6","5","5","9","0","1","0","",".246",".308",".340",".648",".285","77","","0.0","","600.6","22871"
"Khalil Lee","","24","79","69","15","3","0","2","10","7","9","27","2","2","1","",".214",".314",".340",".654",".292","87","","0.0","","596.7","19952"
"Max Moroff","","9","30","26","5","1","0","1","3","3","3","9","0","0","0","",".207",".303",".358",".661",".291","84","","0.0","","999.0","14556"
"Evan White","SEA","27","109","99","23","4","0","4","12","12","8","31","1","1","0","",".228",".292",".395",".687",".297","91","","0.0","","600.1","20078"
"Willie Calhoun","TEX","109","422","380","92","19","1","12","45","44","34","58","4","2","1","",".241",".308",".391",".698",".303","92","","0.0","","453.2","17838"
"Wilmer Difo","ARI","37","120","110","27","5","1","2","13","11","9","25","1","2","0","",".245",".303",".355",".658",".287","76","","0.0","","999.0","14320"
"Andrew Young","WSN","9","21","19","4","1","0","1","2","3","1","7","1","0","0","",".220",".296",".400",".696",".302","86","","0.0","","999.0","19521"
"Brendan Donovan","STL","5","18","16","4","1","0","0","2","2","2","4","0","0","0","",".243",".315",".369",".684",".299","89","","0.0","","600.5","sa3006675"
"Jose Lobaton","","8","26","23","5","1","0","1","3","2","2","8","0","0","0","",".208",".281",".331",".611",".269","67","","0.0","","999.0","4243"
"Taylor Trammell","SEA","24","94","83","17","3","0","3","10","9","9","30","1","2","0","",".206",".291",".349",".641",".282","81","","0.0","","600.9","19960"
"Shogo Akiyama","CIN","61","216","193","47","10","1","2","24","18","19","48","2","3","1","",".244",".317",".341",".658",".291","75","","0.0","","600.8","27461"
"Ender Inciarte","NYY","14","47","42","10","2","0","1","5","4","4","10","0","1","0","",".228",".299",".327",".625",".277","74","","0.0","","600.0","4922"
"Steven Souza Jr.","","10","35","31","6","1","0","1","4","4","4","11","0","0","0","",".208",".307",".371",".678",".298","92","","0.0","","999.0","5667"
"Chad Wallach","LAA","13","41","37","7","1","0","1","4","4","4","13","1","0","0","",".195",".275",".329",".604",".267","66","","0.0","","999.0","17161"
"Anthony Bemboom","BAL","13","47","42","8","2","0","1","4","4","4","13","0","0","0","",".199",".276",".319",".595",".263","62","","0.0","","999.0","13854"
"Mark Vientos","","4","15","14","3","1","0","1","2","2","1","5","0","0","0","",".235",".292",".409",".701",".299","91","","0.0","","999.0","sa3004720"
"Payton Henry","MIA","5","20","18","4","1","0","0","2","2","1","7","0","0","0","",".208",".274",".329",".603",".265","67","","0.0","","999.0","22164"
"Domingo Leyba","SDP","9","30","27","6","1","0","1","3","3","2","6","0","0","0","",".229",".279",".359",".638",".276","74","","0.0","","999.0","16404"
"Ali Sánchez","STL","9","31","28","7","1","0","0","3","3","2","6","0","0","0","",".241",".288",".339",".627",".273","73","","0.0","","999.0","18551"
"Justin Smoak","","13","57","49","11","2","0","2","7","7","7","13","0","0","0","",".217",".319",".402",".721",".314","94","","0.0","","999.0","9054"
"Alan Trejo","COL","42","138","128","31","7","1","4","15","15","7","35","1","1","0","",".242",".285",".393",".678",".291","67","","0.0","","999.0","20056"
"Andrew Velazquez","LAA","28","99","90","19","4","0","2","11","8","7","31","1","3","1","",".207",".267",".324",".592",".260","61","","0.0","","600.7","14196"
"Ian Desmond","COL","24","92","83","21","4","0","3","12","11","7","23","1","2","1","",".255",".315",".424",".739",".318","85","","0.0","","999.0","6885"
"Andy Burns","LAD","23","34","31","7","1","0","1","4","4","3","8","0","0","0","",".221",".290",".361",".651",".285","79","","0.0","","999.0","12779"
"Tony Wolters","LAD","6","21","18","4","1","0","0","2","2","2","5","0","0","0","",".219",".300",".312",".612",".273","71","","0.0","","999.0","11470"
"Juan Lagares","","51","173","160","39","8","1","4","19","17","10","40","2","2","1","",".244",".293",".376",".669",".289","80","","0.0","","999.0","5384"
"Aaron Altherr","","25","101","89","19","4","0","3","12","10","9","29","2","1","0","",".217",".303",".371",".674",".296","85","","0.0","","999.0","11270"
"Clay Dungan","KCR","5","20","19","5","1","0","0","2","2","1","4","0","0","0","",".243",".294",".350",".644",".281","74","","0.0","","999.0","sa1169803"
"P.J. Higgins","CHC","6","17","15","3","1","0","0","2","1","1","4","0","0","0","",".224",".293",".328",".621",".275","68","","0.0","","999.0","18433"
"Ryan Kreidler","DET","4","15","13","3","1","0","0","2","1","1","4","0","0","0","",".226",".288",".365",".654",".284","78","","0.0","","999.0","sa3010587"
"Webster Rivas","SDP","9","30","27","6","1","0","1","3","3","2","7","0","0","0","",".220",".285",".320",".605",".266","68","","0.0","","999.0","14636"
"Yolbert Sanchez","CHW","4","14","13","3","1","0","0","1","1","1","2","0","0","0","",".262",".308",".371",".678",".293","85","","0.0","","999.0","sa3011471"
"Jason Vosler","SFG","10","33","30","6","2","0","1","3","3","3","8","1","0","0","",".213",".287",".362",".649",".283","78","","0.0","","999.0","16686"
"Kevin Padlo","SEA","7","19","17","3","1","0","1","2","2","2","6","0","0","0","",".194",".280",".360",".640",".279","79","","0.0","","600.3","16593"
"Kyle Garlick","MIN","23","68","62","14","3","0","3","8","8","5","22","1","0","0","",".226",".288",".414",".702",".301","90","","0.0","","999.0","18063"
"Rob Brantly","NYY","5","15","14","3","1","0","0","1","1","1","3","0","0","0","",".218",".282",".323",".605",".266","67","","0.0","","999.0","10655"
"Chadwick Tromp","ATL","7","19","17","4","1","0","1","2","2","1","5","0","0","0","",".219",".268",".354",".621",".270","64","","0.0","","999.0","16953"
"Jedd Gyorko","","4","16","14","3","1","0","1","2","2","2","4","0","0","0","",".239",".315",".439",".754",".323","100","","0.0","","999.0","10816"
"Omar Estévez","LAD","6","26","24","5","1","0","1","3","3","2","7","0","0","0","",".229",".285",".369",".655",".284","78","","0.0","","999.0","sa914242"
"Daniel Johnson","CLE","20","63","57","13","3","0","2","7","7","4","19","1","1","0","",".226",".289",".388",".677",".292","84","","0.0","","999.0","19643"
"Greg Cullen","BAL","3","10","9","2","0","0","0","1","1","1","2","0","0","0","",".230",".317",".357",".675",".298","86","","0.0","","999.0","sa3007069"
"Travis Blankenhorn","","6","16","14","3","1","0","0","2","2","1","5","0","0","0","",".211",".279",".365",".644",".280","79","","0.0","","999.0","18395"
"Sebastian Rivero","KCR","8","28","26","6","1","0","1","2","3","2","7","0","0","0","",".226",".277",".344",".620",".270","67","","0.0","","999.0","21735"
"Taylor Davis","","9","29","26","6","1","0","0","2","2","2","5","0","0","0","",".228",".294",".310",".604",".267","65","","0.0","","999.0","12782"
"Yonathan Daza","COL","70","257","238","65","14","2","2","29","24","14","45","2","3","1","",".275",".318",".378",".696",".303","75","","0.0","","598.6","15794"
"Austin Wynns","PHI","6","18","17","4","1","0","0","2","2","1","4","0","0","0","",".222",".283",".327",".610",".269","66","","0.0","","999.0","15271"
"Jonathan Davis","MIL","10","32","28","6","1","0","1","4","3","3","8","1","1","0","",".209",".296",".326",".622",".277","70","","0.0","","999.0","15104"
"Richie Martin","BAL","22","78","72","16","3","1","1","8","6","5","20","1","2","1","",".223",".283",".321",".604",".267","65","","0.0","","999.0","17736"
"Ronald Guzmán","","13","42","37","8","2","0","1","5","5","4","11","1","0","0","",".227",".306",".389",".695",".302","91","","0.0","","999.0","14388"
"Gregory Polanco","","4","13","11","3","1","0","1","2","2","1","3","0","0","0","",".226",".298",".423",".721",".308","91","","0.0","","599.0","12907"
"David Dahl","MIL","17","67","61","15","3","0","2","7","7","4","16","1","1","0","",".248",".301",".392",".693",".299","84","","0.0","","599.5","13744"
"Taylor Motter","","13","35","31","6","1","0","1","4","4","3","9","0","0","0","",".208",".288",".363",".651",".283","73","","0.0","","999.0","12399"
"Pedro Leon","HOU","3","9","8","2","0","0","0","1","1","1","3","0","0","0","",".214",".289",".343",".631",".277","76","","0.0","","999.0","sa3014838"
"Aramis Garcia","CIN","15","49","46","10","2","0","2","5","6","3","16","1","0","0","",".213",".265",".361",".626",".271","62","","0.0","","999.0","16925"
"Emmanuel Rivera","KCR","18","68","63","16","3","0","2","7","7","4","13","1","0","0","",".250",".299",".389",".687",".296","85","","0.0","","999.0","19890"
"Lucius Fox","WSN","4","16","14","3","1","0","0","2","1","1","4","0","0","0","",".226",".302",".332",".634",".281","72","","0.0","","999.0","sa914200"
"Kody Clemens","DET","4","16","15","3","1","0","0","2","2","1","4","0","0","0","",".217",".281",".364",".645",".280","75","","0.0","","999.0","sa3008002"
"Josh Palacios","TOR","13","49","44","10","2","0","1","5","4","4","13","1","1","0","",".228",".301",".337",".638",".282","73","","0.0","","999.0","19818"
"Brian Serven","COL","5","15","14","3","1","0","0","2","2","1","4","0","0","0","",".227",".282",".389",".671",".289","66","","0.0","","999.0","sa857231"
"Luke Raley","TBR","17","62","55","12","2","0","2","7","7","4","20","2","0","0","",".217",".292",".367",".659",".288","86","","0.0","","999.0","19354"
"Austin Dean","SFG","13","33","30","7","2","0","1","4","3","2","8","0","0","0","",".239",".300",".379",".679",".294","86","","0.0","","999.0","18288"
