"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Avisaíl García","MIA","137","565","509","135","21","2","23","72","71","42","136","10","10","3","",".265",".330",".452",".782",".334","112","","2.3","","170.6","5760"
"Jean Segura","PHI","133","577","525","148","25","2","14","73","63","38","85","7","9","3","",".282",".337",".419",".757",".327","102","","2.3","","202.9","5933"
"J.D. Martinez","BOS","144","623","553","153","33","2","28","84","88","59","144","4","1","0","",".277",".348",".496",".844",".356","122","","2.3","","89.5","6184"
"Teoscar Hernández","TOR","144","608","551","144","29","2","33","87","86","47","160","6","10","3","",".261",".323",".499",".822",".347","117","","2.3","","28.0","13066"
"Myles Straw","CLE","143","567","503","135","24","3","3","67","41","57","108","3","23","5","",".268",".344",".348",".692",".308","94","","2.2","","126.5","17620"
"J.P. Crawford","SEA","147","632","562","137","26","3","9","68","53","60","112","6","7","3","",".244",".321",".350",".671",".297","92","","2.2","","447.0","15491"
"Jonathan Schoop","DET","140","596","549","145","27","2","22","68","74","34","120","9","1","0","",".264",".314",".440",".755",".324","105","","2.2","","213.0","11265"
"Miguel Rojas","MIA","129","537","488","131","24","2","9","60","50","37","75","6","11","3","",".269",".326",".378",".704",".308","95","","2.2","","472.7","7802"
"Ryan Jeffers","MIN","94","346","311","69","13","1","15","41","42","29","109","5","1","0","",".222",".298",".409",".707",".306","93","","2.2","","476.3","24618"
"Jazz Chisholm Jr.","MIA","132","561","507","121","22","5","21","76","61","44","167","6","23","5","",".239",".306",".428",".734",".315","100","","2.2","","76.0","20454"
"Jared Walsh","LAA","142","584","523","135","28","1","29","76","84","50","152","6","2","1","",".259",".329",".487",".815",".345","119","","2.1","","119.6","18607"
"Andrew Benintendi","KCR","131","556","495","132","28","4","16","67","64","49","102","5","12","3","",".266",".335",".435",".770",".331","108","","2.1","","192.6","17901"
"Alex Verdugo","BOS","144","607","545","152","34","2","15","76","68","54","95","5","5","2","",".280",".347",".430",".777",".335","108","","2.1","","168.1","17027"
"Ty France","SEA","140","581","514","136","26","1","19","68","67","43","103","19","1","0","",".265",".341",".428",".769",".334","116","","2.1","","155.4","17982"
"Josh Bell","WSN","144","603","526","140","25","2","28","80","83","67","114","4","1","0","",".267",".351",".483",".834",".354","120","","2.1","","127.8","13145"
"Tommy Edman","STL","141","606","557","148","30","5","11","76","57","37","92","7","22","5","",".266",".317",".397",".714",".309","96","","2.1","","90.0","19470"
"Joey Votto","CIN","138","589","502","129","25","2","28","79","82","77","132","5","2","1","",".256",".358",".478",".836",".357","118","","2.1","","141.4","4314"
"Keibert Ruiz","WSN","106","413","376","101","20","1","13","46","51","28","48","5","0","0","",".268",".324",".429",".753",".323","99","","2.1","","146.1","19610"
"AJ Pollock","LAD","112","437","397","106","22","1","22","64","67","31","90","6","6","2","",".267",".328",".497",".825",".348","120","","2.1","","218.4","9256"
"Adam Frazier","SEA","140","582","523","138","26","3","7","64","51","45","77","8","7","3","",".264",".330",".370",".700",".307","98","","2.1","","395.9","15223"
"Jeff McNeil","NYM","127","506","453","123","25","2","11","60","55","37","72","11","4","1","",".271",".340",".405",".745",".324","108","","2.1","","325.5","15362"
"Marcell Ozuna","ATL","127","545","484","130","21","1","27","76","73","54","115","3","3","1","",".268",".343",".481",".824",".351","117","","2.0","","175.8","10324"
"Adley Rutschman","BAL","90","368","326","78","17","1","11","40","39","36","76","4","2","1","",".241",".321",".398",".718",".311","95","","2.0","","198.1","sa3011643"
"Josh Rojas","ARI","130","540","479","120","27","4","13","67","55","54","123","3","13","4","",".251",".329",".403",".732",".318","96","","2.0","","248.4","19734"
"Yandy Díaz","TBR","117","482","417","111","19","1","11","56","51","58","79","3","2","1","",".267",".358",".400",".758",".332","116","","2.0","","456.5","16578"
"Max Kepler","MIN","133","558","485","113","25","2","24","72","66","61","105","7","6","2","",".233",".324",".440",".764",".328","108","","1.9","","295.2","12144"
"César Hernández","WSN","133","577","515","134","22","3","15","69","60","53","120","5","3","1","",".260",".333",".404",".737",".320","98","","1.9","","405.8","10556"
"Daulton Varsho","ARI","115","440","395","99","22","3","16","56","55","37","93","5","8","2","",".251",".321",".446",".767",".327","102","","1.9","","93.9","19918"
"Nathaniel Lowe","TEX","142","588","511","131","25","2","19","73","65","69","146","4","4","1","",".257",".348",".427",".775",".336","114","","1.9","","252.2","19566"
"Ryan McMahon","COL","143","582","517","133","29","2","24","78","78","56","150","4","5","2","",".257",".332",".464",".796",".340","99","","1.9","","162.6","15112"
"Mike Yastrzemski","SFG","129","526","462","111","26","3","22","67","66","53","129","7","4","1","",".239",".324",".450",".774",".331","109","","1.9","","287.3","14854"
